ori,year,aggravated_assault,all_other_offenses,arson,burglary,curfew,disorderly_conduct,dui,drug_grand_total,drug_poss_marijuana,drug_poss_opium,drug_poss_other,drug_poss_subtotal,drug_poss_synthetic,drug_sales_marijuana,drug_sales_opium,drug_sales_other,drug_sales_subtotal,drug_sales_synthetic,drunkness,embezzlement,forgery,fraud,gambling_all_others,gambling_bookmaking,gambling_numbers,gambling_total,human_trafficking_commercial_sex_traffic,human_trafficking_servitude,larceny,liquor_laws,manslaughter,motor_vehicle_theft,murder,offense_against_family,prostitution_total,prostitution_assisting,prostitution_performing,prostitution_purchasing,rape,robbery,other_sex_offenses,simple_assault,stolen_property,suspicion,vagrancy,vandalism,weapons
AK0010100,2020,1094,4428,23,217,0,171,1254,304,25,107,120,259,7,8,22,15,45,0,0,23,36,78,0,0,0,0,0,0,766,8,0,179,14,63,0,0,0,0,35,206,175,1580,58,2,0,639,142
AK0010100,2019,1146,5292,20,302,0,323,1332,396,95,106,143,356,12,5,22,13,40,0,2,33,58,66,0,0,0,0,0,0,992,18,3,274,20,136,5,0,4,1,45,203,167,1906,78,0,0,711,127
AK0010100,2018,1124,5435,26,301,0,278,1102,452,111,102,177,391,1,13,31,16,61,1,2,40,84,82,0,0,0,0,0,0,1190,45,2,484,14,123,1,0,0,1,54,264,163,1796,101,0,0,655,155
AK0010100,2017,1016,5618,13,244,0,233,1151,461,103,142,150,411,16,8,29,9,50,4,2,55,73,99,0,0,0,0,0,0,1178,56,0,463,16,113,5,0,3,2,37,216,181,1748,94,0,0,639,160
AK0010100,2016,914,5586,22,191,0,220,1013,403,118,83,154,368,13,3,21,7,35,4,0,59,53,123,0,0,0,0,0,0,1318,55,4,281,17,140,6,0,0,0,51,207,186,1626,74,0,0,621,124
AK0010100,2015,862,6655,33,164,0,280,1041,473,119,136,144,410,11,9,32,21,63,1,0,54,23,144,0,0,0,0,0,0,1457,121,0,168,22,149,2,0,0,0,38,216,156,1664,46,0,0,513,106
AK0010100,2014,819,6527,19,146,0,316,1080,506,251,102,77,435,5,11,46,14,71,0,5,51,54,107,0,0,0,0,0,0,1807,307,1,108,10,146,29,0,0,0,59,162,186,1729,21,1,0,451,101
AK0010100,2013,789,6767,14,126,0,399,1351,632,284,96,25,481,76,36,68,12,151,35,0,67,30,111,0,0,0,0,0,0,2351,479,1,128,13,186,637,0,0,0,70,192,140,1958,26,0,551,498,85
AK0010100,2012,953,7778,22,167,0,500,1484,726,386,120,34,600,60,36,61,6,126,23,0,100,36,112,0,0,0,0,0,0,1929,738,0,129,9,192,38,0,0,0,72,155,165,2171,10,1,0,484,131
AK0010100,2011,844,8252,29,145,1,411,1787,700,387,106,34,563,36,44,58,10,137,25,2,89,41,132,0,0,0,0,0,0,1832,867,2,109,17,235,64,0,0,0,57,166,164,2301,14,3,0,435,129
AK0010100,2010,951,8694,22,155,0,386,1900,914,481,130,8,669,50,60,135,7,245,43,0,81,81,155,0,10,0,10,0,0,1921,1011,0,116,11,195,150,0,0,0,40,187,202,2175,21,1,0,407,112
AK0010100,2009,957,8652,27,181,0,311,2216,700,369,122,23,528,14,46,114,2,172,10,0,84,77,153,0,0,0,0,0,0,2049,916,1,134,15,206,206,0,0,0,50,243,81,2358,16,3,0,344,107
AK0010100,2008,1023,8799,38,159,0,338,2298,578,208,145,82,435,0,17,112,13,143,1,0,97,51,157,0,0,0,0,0,0,2123,325,2,146,10,194,159,0,0,0,29,225,68,2044,16,4,0,377,101
AK0010100,2007,712,8702,8,167,0,412,1828,556,139,180,73,497,105,17,24,0,59,18,0,0,79,41,0,0,0,0,0,0,2320,253,0,191,22,177,341,0,0,0,32,121,49,2119,0,0,0,479,128
AK0010100,2006,625,8254,10,157,0,268,1364,476,100,0,81,254,73,16,206,0,222,0,0,0,70,33,0,0,0,0,0,0,2361,205,0,211,18,152,188,0,0,0,26,104,48,1869,0,0,0,371,160
AK0010100,2005,604,7471,4,160,0,292,1471,496,114,0,125,316,77,11,169,0,180,0,1,0,61,30,2,0,0,2,0,0,1955,182,0,193,11,146,120,0,0,0,16,82,45,1910,2,0,0,370,126
AK0010100,2004,478,8054,5,147,0,323,1510,506,128,46,90,336,72,20,136,3,170,11,0,0,76,18,22,0,0,22,0,0,1836,212,1,168,15,145,101,0,0,0,25,98,46,1896,0,0,0,378,109
AK0010100,2003,408,6429,14,192,0,323,1651,609,240,281,0,524,3,27,0,0,85,58,0,0,82,18,0,0,0,0,0,0,2341,258,2,217,14,97,54,0,0,0,28,87,73,2022,0,0,0,431,165
AK0010100,2002,374,5764,10,180,0,359,1851,596,256,251,1,509,1,34,1,0,87,52,0,0,49,19,1,0,0,1,0,0,2425,240,2,229,21,102,56,0,0,0,32,112,70,2084,0,0,0,445,137
AK0010100,2001,382,5435,5,172,0,374,1695,486,169,239,1,412,3,18,0,0,74,56,0,0,54,15,0,0,0,0,0,0,2013,193,4,166,12,115,60,0,0,0,23,112,41,2196,0,0,0,381,146
AK0010100,2000,332,6931,11,157,0,355,1700,607,296,200,1,499,2,20,0,0,108,88,0,0,43,19,3,0,0,3,0,0,2405,181,7,156,11,46,117,0,0,0,19,72,32,2076,0,0,0,382,165
AK0010100,1999,326,7275,7,147,0,356,1797,686,266,275,2,543,0,18,0,0,143,125,0,0,35,14,0,0,0,0,0,0,2001,252,5,225,14,48,177,0,0,0,25,116,72,2128,0,0,0,439,188
AK0010100,1998,327,8640,9,182,0,317,1768,987,386,346,0,733,1,36,0,0,254,218,0,0,27,17,0,0,0,0,0,0,2235,139,2,215,13,43,129,0,0,0,24,117,40,2163,0,0,0,400,197
AK0010100,1996,382,5178,6,177,0,379,1774,787,353,268,2,625,2,96,64,2,162,0,0,0,36,43,5,0,0,5,0,0,2656,47,1,226,18,78,184,0,0,0,51,129,57,2340,0,0,0,380,221
AK0010100,1995,354,4991,11,215,8,312,1463,661,290,156,0,448,2,100,112,1,213,0,0,0,44,42,5,0,0,5,0,0,2959,268,1,347,13,74,188,0,0,0,50,151,57,2207,0,0,0,373,248
AK0010100,1994,345,4960,15,213,9,219,1513,362,175,76,5,261,5,81,20,0,101,0,0,0,68,51,12,0,0,12,0,0,3248,271,4,435,15,49,149,0,0,0,37,118,69,2130,0,0,0,359,264
AK0010100,1993,335,4263,19,223,1,314,1623,255,171,31,3,207,2,25,23,0,48,0,0,0,32,55,3,0,0,3,0,0,3187,140,2,209,11,61,99,0,0,0,49,99,65,1867,0,0,0,362,244
AK0010100,1992,244,6045,5,193,5,249,1673,273,192,34,6,232,0,18,23,0,41,0,0,0,34,36,20,0,0,20,0,0,3121,63,0,191,7,52,45,0,0,0,26,62,54,1469,0,0,0,376,186
AK0010100,1991,172,5547,7,161,1,216,1677,212,149,25,9,184,1,10,18,0,28,0,1,0,31,47,0,0,0,0,0,0,3108,97,1,194,11,38,46,0,0,0,35,97,38,1113,0,0,0,348,194
AK0010100,1989,173,5483,8,181,2,413,830,241,112,66,2,180,0,22,34,2,61,3,56,0,15,13,11,0,0,11,0,0,2632,95,1,192,6,27,54,0,0,0,30,42,53,831,0,0,0,266,153
AK0010100,1988,213,6298,0,179,3,396,946,271,105,39,2,149,3,9,14,47,122,52,90,0,49,37,13,0,6,19,0,0,2522,80,1,200,8,51,60,0,0,0,39,42,53,770,0,0,0,250,168
