ori,year,all_male__10_12,all_male__13_14,all_male__15,all_male__16,all_male__17,all_male__18,all_male__19,all_male__20,all_male__21,all_male__22,all_male__23,all_male__24,all_male__25_29,all_male__30_34,all_male__35_39,all_male__40_44,all_male__45_49,all_male__50_54,all_male__55_59,all_male__60_64,all_male__65_over,all_male__10_under,all_female__10_12,all_female__13_14,all_female__15,all_female__16,all_female__17,all_female__18,all_female__19,all_female__20,all_female__21,all_female__22,all_female__23,all_female__24,all_female__25_29,all_female__30_34,all_female__35_39,all_female__40_44,all_female__45_49,all_female__50_54,all_female__55_59,all_female__60_64,all_female__65_over,all_female__10_under,all_asian,all_native_hawaiian,all_black,all_american_indian,all_unknown,all_white
AK0010100,2018,39,135,128,100,111,143,198,199,243,239,302,342,1819,1591,1285,796,648,533,365,229,86,4,22,100,75,45,64,57,92,134,129,126,161,169,970,783,574,309,255,172,115,51,33,2,982,0,1731,4909,0,6351
AK0010100,2017,36,115,88,122,102,164,189,180,245,318,359,319,1863,1606,1244,785,668,516,460,186,100,0,5,75,47,59,62,77,103,118,131,170,157,185,954,729,479,313,218,151,99,33,40,1,883,0,1770,4703,0,6515
AK0010100,2016,55,139,111,125,141,158,215,228,314,344,341,342,1727,1432,1044,703,599,568,371,165,90,1,16,75,53,63,65,80,120,103,134,166,158,184,870,693,427,317,211,183,86,47,30,0,824,0,1845,4302,0,6323
AK0010100,2015,38,155,103,132,183,235,247,344,353,456,423,429,1762,1479,945,746,700,648,351,164,124,4,18,76,67,71,73,113,145,176,197,176,214,210,845,599,416,333,250,216,91,42,37,1,1000,0,2034,4375,0,6978
AK0010100,2014,77,153,120,139,212,229,340,360,371,408,412,410,1718,1317,953,817,753,612,376,146,134,4,25,69,80,96,128,151,196,187,174,238,246,174,826,627,437,350,293,223,99,37,31,0,1025,0,1944,4383,0,7396
AK0010100,2013,61,193,126,179,235,322,468,483,520,467,460,439,2070,1547,971,1029,953,759,471,178,116,2,23,120,100,135,180,237,263,237,288,246,201,226,943,743,442,384,307,246,132,52,45,2,1178,0,2498,5081,0,8848
AK0010100,2012,82,213,177,199,287,422,501,613,581,481,420,445,2077,1572,1014,1030,981,749,393,134,108,3,48,108,122,143,174,209,276,358,280,209,223,215,988,662,466,376,338,236,108,40,40,1,0,0,2486,5132,0,9256
AK0010100,2011,84,219,185,239,312,432,582,653,592,539,455,471,2140,1436,1015,1057,974,830,379,185,122,6,43,153,154,153,181,270,348,374,277,260,212,223,928,640,498,376,386,242,109,45,45,4,0,0,2550,4988,0,10102
AK0010100,2010,73,252,211,268,349,530,650,705,673,585,547,551,2266,1413,1159,1180,1051,729,373,180,127,13,37,157,131,156,253,351,356,317,248,252,244,202,894,630,508,466,405,239,103,38,25,1,0,0,2706,5350,0,10514
AK0010100,2009,66,272,256,300,406,602,694,721,668,552,571,504,2269,1386,1179,1165,1149,709,345,131,93,8,37,121,129,160,213,358,322,292,279,251,272,227,918,620,553,513,397,222,97,38,22,0,0,0,2756,5129,0,10994
AK0010100,2008,94,280,188,273,340,514,579,618,618,685,647,521,2115,1293,1297,1206,1093,675,325,139,103,11,35,155,109,157,181,263,245,303,304,259,235,198,900,581,553,505,394,227,93,35,12,3,0,0,2609,4941,0,10620
AK0010100,2007,102,278,253,306,364,496,523,589,615,562,551,557,1930,1295,1248,1311,1056,601,294,131,72,18,51,133,100,154,164,219,249,247,272,216,240,215,857,599,588,565,381,186,81,42,25,1,0,0,2523,4585,0,10525
AK0010100,2006,96,293,224,272,315,395,542,589,629,571,535,457,1631,1100,1197,1273,958,529,208,95,50,12,26,136,133,145,149,204,216,257,257,224,216,180,709,506,504,566,321,142,55,36,15,2,0,0,2429,4084,0,9524
AK0010100,2005,95,256,240,304,306,445,575,581,550,540,460,375,1495,1046,1119,1167,842,484,194,81,57,14,26,174,126,142,150,177,195,221,198,199,174,167,616,521,426,513,280,139,43,20,14,3,0,0,2384,3581,0,8873
AK0010100,2004,78,295,223,322,334,478,581,602,537,481,425,399,1463,1263,1217,1228,842,498,210,85,74,13,43,166,132,165,154,181,184,220,237,204,165,164,597,509,444,458,283,127,56,16,12,4,0,0,2409,3609,0,9295
AK0010100,2003,100,356,287,515,416,221,537,467,557,443,432,362,1378,1173,1248,1134,804,411,172,76,59,11,36,217,137,303,172,90,166,188,236,151,167,139,542,439,461,436,290,109,45,18,14,0,0,0,2231,3674,0,8733
AK0010100,2002,113,327,323,530,436,257,511,521,466,447,347,356,1200,1241,1232,1152,754,416,193,63,74,11,42,228,198,271,175,104,192,211,154,156,135,115,506,403,484,397,252,97,40,12,16,0,0,0,2229,3675,0,8497
AK0010100,2001,88,288,231,480,348,212,477,472,467,392,370,246,1188,1148,1251,1125,753,367,167,70,66,14,30,147,144,241,129,82,179,174,151,147,104,107,449,456,529,424,228,84,27,16,10,2,0,0,2011,3432,0,7939
AK0010100,2000,167,441,335,378,425,501,524,470,412,360,310,315,1342,1391,1619,1307,737,416,154,82,90,18,71,220,153,144,168,152,178,177,131,148,117,113,545,464,532,397,195,84,22,9,7,6,0,0,2407,3580,0,9137
AK0010100,1999,149,401,308,362,466,473,505,484,400,393,355,309,1543,1549,1816,1382,766,360,139,74,78,33,54,223,142,142,113,166,149,180,134,106,92,113,499,528,642,378,215,65,29,9,3,6,0,0,2680,3681,0,9413
AK0010100,1998,194,403,299,378,455,500,569,439,485,421,395,353,1791,1951,2015,1458,753,356,184,78,73,30,68,247,153,134,143,144,158,151,139,130,131,127,608,619,648,452,238,63,26,12,12,8,0,0,3054,3899,0,10481
AK0010100,1996,169,449,322,369,330,365,435,347,317,270,294,335,1607,1745,1676,904,687,263,123,57,49,40,73,262,141,171,113,134,123,102,132,132,105,95,577,664,621,279,186,45,18,7,9,13,0,0,2641,2981,0,8971
AK0010100,1995,214,457,280,374,380,428,382,377,311,293,376,327,1692,1882,1643,764,676,236,102,55,54,40,94,252,164,156,105,100,98,127,105,119,76,94,521,652,561,214,154,54,24,12,12,5,0,0,2886,2822,0,8839
AK0010100,1994,209,560,389,412,366,354,371,383,350,373,341,352,1739,1826,1488,731,588,203,125,56,48,35,94,316,185,177,133,84,123,95,114,108,91,112,568,571,463,179,114,45,20,6,4,14,0,0,2869,2829,0,8715
AK0010100,1993,194,455,302,309,328,289,352,292,366,361,358,362,1610,1707,1357,603,553,216,101,50,49,47,89,297,170,129,97,121,101,93,113,81,115,108,493,529,345,177,114,41,18,13,7,6,0,0,2505,2645,0,7970
AK0010100,1992,144,337,241,278,306,365,336,398,502,411,383,412,2008,1953,1374,686,588,235,129,59,69,38,66,238,158,103,112,99,97,94,93,108,118,97,555,541,354,160,87,47,17,17,11,5,0,0,2803,2729,0,8557
AK0010100,1991,126,324,236,245,319,367,455,514,466,420,407,421,1952,1833,1159,595,492,182,80,46,51,20,51,195,104,106,113,74,87,85,115,62,86,84,498,439,281,124,108,38,15,7,5,5,0,0,2426,2643,0,8025
AK0010100,1989,113,276,218,213,258,381,452,383,348,348,356,339,1848,1515,1055,435,389,157,86,71,52,33,46,165,103,95,86,90,82,96,43,87,86,79,533,399,224,111,67,43,17,18,10,2,0,0,1950,2383,0,7271
AK0010100,1988,85,224,198,229,315,444,451,500,469,431,444,485,2128,1592,968,482,298,171,83,54,43,47,38,149,87,72,77,113,96,109,105,104,103,102,576,397,210,124,56,39,19,10,7,11,0,0,2134,2359,0,8031
AK0010100,1987,118,247,203,267,281,389,435,496,428,537,476,500,2105,1443,931,503,273,161,101,53,56,53,45,173,99,81,100,83,91,102,106,123,136,155,554,423,214,90,63,30,19,11,8,15,0,0,1918,2162,0,8440
AK0010100,1986,127,314,271,320,335,397,534,502,556,566,570,574,2301,1524,973,464,279,167,104,71,58,53,39,147,123,88,98,98,80,95,131,130,132,109,532,367,205,103,55,41,21,14,17,14,0,0,1887,2204,0,9372
