ori,agency_name,agency_type_name,state_name,state_abbr,division_name,region_name,region_desc,county_name,nibrs,latitude,longitude,nibrs_start_date
AK0010100,Anchorage Police Department,Municipality,Alaska,AK,Pacific,West,Region IV,ANCHORAGE,FALSE,61.17425,-149.284329,NULL
AK0010200,Fairbanks Police Department,Borough,Alaska,AK,Pacific,West,Region IV,FAIRBANKS NORTH STAR,FALSE,64.83945,-147.71942,NULL
AK0010300,Juneau Police Department,City and Borough,Alaska,AK,Pacific,West,Region IV,JUNEAU,FALSE,58.356556,-134.50731,NULL
AK0010400,Ketchikan Police Department,Borough,Alaska,AK,Pacific,West,Region IV,KETCHIKAN GATEWAY,FALSE,55.449938,-131.106685,NULL
AK0010500,Kodiak Police Department,Borough,Alaska,AK,Pacific,West,Region IV,KODIAK ISLAND,FALSE,57.8049,-152.37332,NULL
AK0010600,Nome Police Department,Census Area,Alaska,AK,Pacific,West,Region IV,NOME,FALSE,64.783686,-164.188912,NULL
AK0010700,Petersburg Police Department,Borough,Alaska,AK,Pacific,West,Region IV,PETERSBURG,FALSE,55.415683,-132.875734,NULL
AK0010800,Seward Police Department,Borough,Alaska,AK,Pacific,West,Region IV,KENAI PENINSULA,FALSE,60.366668,-152.322283,NULL
AK0010900,Sitka Police Department,City and Borough,Alaska,AK,Pacific,West,Region IV,SITKA,FALSE,57.052124,-135.33418,NULL
AK0011000,Skagway Police Department,Municipality,Alaska,AK,Pacific,West,Region IV,SKAGWAY,FALSE,59.575097,-135.335418,NULL
AK0011100,Wrangell Police Department,City and Borough,Alaska,AK,Pacific,West,Region IV,WRANGELL,FALSE,56.279121,-132.040325,NULL
AK0011200,Valdez Police Department,Census Area,Alaska,AK,Pacific,West,Region IV,VALDEZ-CORDOVA,FALSE,61.34984,-145.023141,NULL
AK0011300,Bethel Police Department,Census Area,Alaska,AK,Pacific,West,Region IV,BETHEL,FALSE,60.928916,-160.15335,NULL
AK0011400,Cordova Police Department,Census Area,Alaska,AK,Pacific,West,Region IV,VALDEZ-CORDOVA,FALSE,61.34984,-145.023141,NULL
AK0011600,Kotzebue Police Department,Borough,Alaska,AK,Pacific,West,Region IV,NORTHWEST ARCTIC,FALSE,67.005066,-160.021086,NULL
AK0011700,Palmer Police Department,Borough,Alaska,AK,Pacific,West,Region IV,MATANUSKA-SUSITNA,FALSE,61.602676,-149.11183,NULL
AK0011800,North Slope Borough Police Department,Borough,Alaska,AK,Pacific,West,Region IV,NORTH SLOPE,FALSE,69.449343,-153.47283,NULL
AK0011900,Seldovia Police Department,Borough,Alaska,AK,Pacific,West,Region IV,KENAI PENINSULA,FALSE,60.366668,-152.322283,NULL
AK0012000,Soldotna Police Department,Borough,Alaska,AK,Pacific,West,Region IV,KENAI PENINSULA,FALSE,60.481678,-151.07265,NULL
AK0012100,Haines Police Department,Borough,Alaska,AK,Pacific,West,Region IV,HAINES,FALSE,59.098771,-135.576936,NULL
AK0012200,Homer Police Department,Borough,Alaska,AK,Pacific,West,Region IV,KENAI PENINSULA,FALSE,59.64873,-151.52992,NULL
AK0012300,Kenai Police Department,Borough,Alaska,AK,Pacific,West,Region IV,KENAI PENINSULA,FALSE,60.559402,-151.2507,NULL
AK0012500,Metlakatla Tribal Police Department,Borough,Alaska,AK,Pacific,West,Region IV,N/A,FALSE,55.415683,-132.875734,NULL
AK0012600,Fairbanks International Airport,Borough,Alaska,AK,Pacific,West,Region IV,N/A,FALSE,64.81904,-147.86464,NULL
AK0012700,Anchorage International Airport,Borough,Alaska,AK,Pacific,West,Region IV,N/A,FALSE,61.17425,-149.284329,NULL
AK0012800,Whittier Police Department,Census Area,Alaska,AK,Pacific,West,Region IV,VALDEZ-CORDOVA,FALSE,61.34984,-145.023141,NULL
AK0013000,Dillingham Police Department,Census Area,Alaska,AK,Pacific,West,Region IV,DILLINGHAM,FALSE,59.824816,-158.602233,NULL
AK0013100,Hoonah Police Department,Census Area,Alaska,AK,Pacific,West,Region IV,HOONAH-ANGOON,FALSE,58.076434,-135.1851,NULL
AK0013200,North Pole Police Department,Borough,Alaska,AK,Pacific,West,Region IV,FAIRBANKS NORTH STAR,FALSE,64.75503,-147.35081,NULL
AK0013300,Unalaska Police Department,Census Area,Alaska,AK,Pacific,West,Region IV,ALEUTIANS WEST,FALSE,51.959447,178.338813,NULL
AK0013500,Klawock Police Department,Census Area,Alaska,AK,Pacific,West,Region IV,PRINCE OF WALES-HYDER,FALSE,55.415683,-132.875734,NULL
AK0014200,University of Alaska: Fairbanks,Borough,Alaska,AK,Pacific,West,Region IV,N/A,FALSE,64.691501,-146.601909,NULL
AK0014300,University of Alaska: Anchorage,Borough,Alaska,AK,Pacific,West,Region IV,N/A,FALSE,61.189857,-149.81879,NULL
AK0014500,Craig Police Department,Census Area,Alaska,AK,Pacific,West,Region IV,PRINCE OF WALES-HYDER,FALSE,55.415683,-132.875734,NULL
AK0014600,Bristol Bay Borough Police Department,Borough,Alaska,AK,Pacific,West,Region IV,BRISTOL BAY,FALSE,58.732389,-156.986661,NULL
AK0015000,St. Paul Police Department,Census Area,Alaska,AK,Pacific,West,Region IV,ALEUTIANS WEST,FALSE,51.959447,178.338813,NULL
AK0015200,Sand Point Police Department,Borough,Alaska,AK,Pacific,West,Region IV,ALEUTIANS EAST,FALSE,55.245044,-161.997477,NULL
AK0015600,Wasilla Police Department,Borough,Alaska,AK,Pacific,West,Region IV,MATANUSKA-SUSITNA,FALSE,62.182174,-149.407974,NULL
AKAST0100,State Troopers,Borough,Alaska,AK,Pacific,West,Region IV,N/A,FALSE,62.182174,-149.407974,NULL
AL0010000,Jefferson County Sheriff's Office,County,Alabama,AL,East South Central,South,Region III,JEFFERSON,FALSE,33.553444,-86.896536,NULL
AL0010100,Bessemer Police Department,City,Alabama,AL,East South Central,South,Region III,JEFFERSON,FALSE,33.396152,-86.95345,NULL
AL0010200,Birmingham Police Department,City,Alabama,AL,East South Central,South,Region III,SHELBY; JEFFERSON,FALSE,33.553444,-86.896536,NULL
AL0010300,Mountain Brook Police Department,City,Alabama,AL,East South Central,South,Region III,JEFFERSON,FALSE,33.50124,-86.75607,NULL
AL0010400,Fairfield Police Department,City,Alabama,AL,East South Central,South,Region III,JEFFERSON,FALSE,33.553444,-86.896536,NULL
AL0010500,Gardendale Police Department,City,Alabama,AL,East South Central,South,Region III,JEFFERSON,FALSE,33.553444,-86.896536,NULL
AL0010600,Leeds Police Department,City,Alabama,AL,East South Central,South,Region III,SHELBY; ST CLAIR; JEFFERSON,FALSE,33.553444,-86.896536,NULL
AL0010700,Midfield Police Department,City,Alabama,AL,East South Central,South,Region III,JEFFERSON,FALSE,33.553444,-86.896536,NULL
AL0010800,Tarrant Police Department,City,Alabama,AL,East South Central,South,Region III,JEFFERSON,FALSE,33.585728,-86.775024,NULL
AL0010900,Vestavia Hills Police Department,City,Alabama,AL,East South Central,South,Region III,SHELBY; JEFFERSON,FALSE,33.553444,-86.896536,NULL
AL0011000,Homewood Police Department,City,Alabama,AL,East South Central,South,Region III,JEFFERSON,FALSE,33.479603,-86.791016,NULL
AL0011100,Fultondale Police Department,City,Alabama,AL,East South Central,South,Region III,JEFFERSON,FALSE,33.553444,-86.896536,NULL
AL0011200,Hoover Police Department,City,Alabama,AL,East South Central,South,Region III,SHELBY; JEFFERSON,TRUE,33.38795,-86.80636,01/01/2006
AL0011300,Irondale Police Department,City,Alabama,AL,East South Central,South,Region III,JEFFERSON,FALSE,33.538326,-86.70705,NULL
AL0011400,Pleasant Grove Police Department,City,Alabama,AL,East South Central,South,Region III,JEFFERSON,FALSE,33.49046,-86.9703,NULL
AL0011800,Brighton Police Department,City,Alabama,AL,East South Central,South,Region III,JEFFERSON,FALSE,33.42912,-86.94988,NULL
AL0011900,Hueytown Police Department,City,Alabama,AL,East South Central,South,Region III,JEFFERSON,FALSE,33.553444,-86.896536,NULL
AL0012000,Lipscomb Police Department,City,Alabama,AL,East South Central,South,Region III,JEFFERSON,FALSE,33.553444,-86.896536,NULL
AL0012100,Trussville Police Department,City,Alabama,AL,East South Central,South,Region III,ST CLAIR; JEFFERSON,FALSE,33.553444,-86.896536,NULL
